GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-spring,org.mybatis.spring.batch,MyBatisBatchItemWriter,58,99,7,11,9,24,9,8,2,6
mybatis-spring,org.mybatis.spring.batch,MyBatisCursorItemReader,8,71,1,3,3,24,2,8,1,7
mybatis-spring,org.mybatis.spring.batch,MyBatisPagingItemReader,12,83,2,2,5,22,4,5,2,5
mybatis-spring,org.mybatis.spring,SqlSessionUtils.SqlSessionSynchronization,110,98,15,13,13,37,13,8,0,7
mybatis-spring,org.mybatis.spring,MyBatisExceptionTranslator,8,62,4,8,3,15,4,5,0,3
mybatis-spring,org.mybatis.spring,SqlSessionTemplate,110,124,0,0,23,32,19,18,19,18
mybatis-spring,org.mybatis.spring,SqlSessionFactoryBean,177,460,16,70,30,121,19,55,4,27
mybatis-spring,org.mybatis.spring,SqlSessionUtils,74,170,10,26,10,52,11,15,1,7
mybatis-spring,org.mybatis.spring,SqlSessionTemplate.SqlSessionInterceptor,5,78,5,7,0,22,5,3,0,2
mybatis-spring,org.mybatis.spring,MyBatisSystemException,0,5,0,0,0,2,0,1,0,1
mybatis-spring,org.mybatis.spring,SqlSessionHolder,0,27,0,0,0,10,0,4,0,4
mybatis-spring,org.mybatis.spring.config,MapperScannerBeanDefinitionParser,10,96,0,6,1,27,0,5,0,2
mybatis-spring,org.mybatis.spring.config,NamespaceHandler,0,10,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.support,SqlSessionDaoSupport,0,28,0,2,0,10,0,6,0,5
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner,76,233,10,26,12,62,9,23,0,14
mybatis-spring,org.mybatis.spring.mapper,MapperScannerConfigurer,26,189,6,10,11,58,9,18,4,15
mybatis-spring,org.mybatis.spring.mapper,MapperFactoryBean,26,67,0,4,4,23,0,12,0,10
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new TypeFilter() {...},0,14,0,0,0,4,0,2,0,2
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new AssignableTypeFilter() {...},0,9,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new TypeFilter() {...},0,8,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransaction,49,92,9,17,9,26,8,13,0,8
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransactionFactory,6,8,0,0,2,2,2,2,2,2
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar,0,168,3,17,0,33,3,10,0,3
