GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-spring,org.mybatis.spring.batch,MyBatisBatchItemWriter,61,98,7,11,9,25,9,8,2,6
mybatis-spring,org.mybatis.spring.batch,MyBatisCursorItemReader,8,71,1,3,3,24,2,8,1,7
mybatis-spring,org.mybatis.spring.batch,MyBatisPagingItemReader,12,83,2,2,5,21,4,5,2,5
mybatis-spring,org.mybatis.spring,SqlSessionUtils.SqlSessionSynchronization,117,98,15,13,13,38,13,8,0,7
mybatis-spring,org.mybatis.spring,MyBatisExceptionTranslator,8,62,4,8,3,15,4,5,0,3
mybatis-spring,org.mybatis.spring,SqlSessionTemplate,110,124,0,0,23,29,19,18,19,18
mybatis-spring,org.mybatis.spring,SqlSessionFactoryBean,185,464,16,72,27,117,19,56,4,27
mybatis-spring,org.mybatis.spring,SqlSessionUtils,80,171,10,26,9,49,11,15,1,7
mybatis-spring,org.mybatis.spring,SqlSessionTemplate.SqlSessionInterceptor,5,78,5,7,0,20,5,3,0,2
mybatis-spring,org.mybatis.spring,MyBatisSystemException,0,5,0,0,0,2,0,1,0,1
mybatis-spring,org.mybatis.spring,SqlSessionHolder,0,27,0,0,0,10,0,4,0,4
mybatis-spring,org.mybatis.spring.config,MapperScannerBeanDefinitionParser,10,96,0,6,2,27,0,5,0,2
mybatis-spring,org.mybatis.spring.config,NamespaceHandler,0,10,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.support,SqlSessionDaoSupport,0,28,0,2,0,10,0,6,0,5
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner,79,232,10,26,11,62,9,23,0,14
mybatis-spring,org.mybatis.spring.mapper,MapperScannerConfigurer,19,196,4,12,9,61,8,19,4,15
mybatis-spring,org.mybatis.spring.mapper,MapperFactoryBean,27,67,0,4,3,23,0,12,0,10
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new TypeFilter() {...},0,14,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new AssignableTypeFilter() {...},0,9,0,0,0,2,0,2,0,2
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new TypeFilter() {...},0,8,0,0,0,2,0,2,0,2
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransaction,52,92,9,17,4,26,8,13,0,8
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransactionFactory,6,8,0,0,2,2,2,2,2,2
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar,0,168,3,17,0,33,3,10,0,3
